Date,Time,AM/PM,Sender,Message
4/17/20,3:25,AM,- Kakarot,: we having chakkar
4/17/20,3:25,AM,- Kakarot,: she did v many bs stuff
4/17/20,3:25,AM,- Bublasaur,": we, ok"
4/17/20,3:26,AM,- Bublasaur,": Lmao, kya kiya?"
4/17/20,3:53,AM,- Bublasaur,": okay, goodnight"
4/17/20,4:02,AM,- Kakarot,: goodnight boii
4/17/20,11:33,AM,- Kakarot,: Hello
4/17/20,11:54,AM,- Bublasaur,: Hello
4/17/20,11:54,AM,- Bublasaur,: how r h
4/17/20,11:54,AM,- Bublasaur,: u
4/17/20,11:54,AM,- Kakarot,: imma sit
4/17/20,11:54,AM,- Kakarot,: imma pizz
4/17/20,11:54,AM,- Kakarot,: imma do some dizz
4/17/20,11:55,AM,- Bublasaur,: I just woke up
4/17/20,11:55,AM,- Bublasaur,: I
4/17/20,12:39,PM,- Kakarot,: 120 skips and Day 14 ez2
4/17/20,12:39,PM,- Kakarot,: 
4/17/20,12:39,PM,- Kakarot,: 
4/17/20,12:40,PM,- Bublasaur,: V good v proud
4/17/20,12:45,PM,- Kakarot,: v tired v shroud
4/17/20,12:45,PM,- Bublasaur,: huhhhh
4/17/20,12:46,PM,- Bublasaur,: r u gonna do a sleep?
4/17/20,12:52,PM,- Kakarot,: prolly no will try to not sleep
4/17/20,12:53,PM,- Bublasaur,: ok good good
4/17/20,12:54,PM,- Bublasaur,": u gonna do werk werk, then twerk twerk"
4/17/20,1:17,PM,- Kakarot,: no my back has pain
4/17/20,1:28,PM,- Bublasaur,: do u want massages darling?
4/17/20,1:50,PM,- Kakarot,: hehehe i got stretch line on thighs
4/17/20,1:50,PM,- Bublasaur,: Oui hui
4/17/20,1:55,PM,- Kakarot,: not good though
4/17/20,1:55,PM,- Kakarot,: 
4/17/20,2:04,PM,- Bublasaur,: but tis okei
4/17/20,2:04,PM,- Bublasaur,": we r working out, it will be all fine"
4/17/20,2:04,PM,- Kakarot,: yes
4/17/20,2:05,PM,- Kakarot,: also imma sleep ab
4/17/20,2:05,PM,- Kakarot,: sorry
4/17/20,2:05,PM,- Kakarot,: i am feeling v heavy tbh
4/17/20,2:05,PM,- Kakarot,: 
4/17/20,2:05,PM,- Kakarot,: meet you in evening
4/17/20,2:06,PM,- Bublasaur,: okspoks
4/17/20,2:06,PM,- Bublasaur,: see u later then 
4/17/20,2:06,PM,- Kakarot,: love you bb 
4/17/20,2:06,PM,- Bublasaur,: Love you too 
4/17/20,7:47,PM,- Kakarot,: things are bad but am i sad ?
4/17/20,7:52,PM,- Bublasaur,": u can be, it"
4/17/20,7:52,PM,- Bublasaur,: r u though?
4/17/20,7:52,PM,- Kakarot,": once Jassi leaves, I"
4/17/20,7:52,PM,- Kakarot,: 
4/17/20,7:52,PM,- Bublasaur,: 
4/17/20,7:52,PM,- Bublasaur,: tis bad
4/17/20,7:53,PM,- Kakarot,: yep
4/17/20,7:53,PM,- Bublasaur,: who is replacing him?
4/17/20,7:53,PM,- Bublasaur,: ya just two man job ko one man job bana rhe hai?
4/17/20,7:53,PM,- Kakarot,: Arre Bintu sir hain
4/17/20,7:54,PM,- Kakarot,: but he is v incompetent
4/17/20,7:54,PM,- Bublasaur,: Yeah that guy
4/17/20,7:54,PM,- Bublasaur,: i see
4/17/20,7:55,PM,- Bublasaur,: kaafi fucked up scene
4/17/20,9:35,PM,- Kakarot,: i am v sad
4/17/20,9:36,PM,- Bublasaur,: i am sorry for that
4/17/20,9:36,PM,- Bublasaur,: what are u doing rn
4/17/20,9:37,PM,- Kakarot,: Regret
4/17/20,9:37,PM,- Bublasaur,: want distractions?
4/17/20,9:37,PM,- Bublasaur,: or wanna talk bout it
4/17/20,9:38,PM,- Kakarot,: imma talk about it ofc
4/17/20,9:38,PM,- Kakarot,: but w papa first
4/17/20,9:38,PM,- Bublasaur,: okay
4/17/20,9:39,PM,- Kakarot,: like that
4/17/20,9:39,PM,- Kakarot,: conclusions bata dunga
4/17/20,9:39,PM,- Bublasaur,: haan haan
4/17/20,9:39,PM,- Bublasaur,: will talk proper when u done
4/17/20,9:39,PM,- Bublasaur,: have stuff 2 tell u as well
4/17/20,9:41,PM,- Kakarot,: okaii
4/17/20,9:41,PM,- Kakarot,: good stuff
4/17/20,9:41,PM,- Kakarot,: what about though
4/17/20,9:41,PM,- Bublasaur,: Informational stuff
4/17/20,9:41,PM,- Bublasaur,: Office process
4/17/20,9:41,PM,- Bublasaur,: zyada kuch nhi
4/17/20,9:42,PM,- Bublasaur,: access and nda and all that
4/17/20,9:51,PM,- Kakarot,: okay
4/17/20,9:51,PM,- Kakarot,: are progge ?
4/17/20,9:51,PM,- Bublasaur,: what
4/17/20,9:51,PM,- Bublasaur,: no
4/17/20,9:51,PM,- Bublasaur,: i just had my period
4/17/20,9:52,PM,- Kakarot,: oh
4/17/20,9:52,PM,- Kakarot,: okey
4/17/20,9:52,PM,- Bublasaur,: i just told u
4/17/20,9:55,PM,- Kakarot,: okey
4/17/20,9:55,PM,- Kakarot,: oh
4/17/20,10:16,PM,- Kakarot,: i had food
4/17/20,10:16,PM,- Kakarot,: i am gonn walk
4/17/20,10:17,PM,- Kakarot,: walk as if my life depends on it
4/17/20,10:17,PM,- Bublasaur,: Pretty hardcore
4/17/20,10:17,PM,- Kakarot,: also skipping is fun
4/17/20,10:17,PM,- Kakarot,: aaj i skipped then did 30dc
4/17/20,10:17,PM,- Bublasaur,: noice
4/17/20,10:17,PM,- Kakarot,: kaafi free movement tha body ka
4/17/20,10:18,PM,- Kakarot,: proper warm up
4/17/20,10:18,PM,- Bublasaur,: warm up ho jatah
4/17/20,10:18,PM,- Bublasaur,: Yes
